state_id,state,tot_area_mi,land_area_mi
1,Alabama,52420,50645
2,Alaska,665384,570641
3,Arizona,113990,113594
4,Arkansas,53179,52035
5,California,163695,155779
6,Colorado,104094,103642
7,Connecticut,5543,4842
8,Delaware,2489,1949
9,District of Columbia,68,61
10,Florida,65758,53625
11,Georgia,59425,57513
12,Hawaii,10932,6423
13,Idaho,83569,82643
14,Illinois,57914,55519
15,Indiana,36420,35826
16,Iowa,56273,55857
17,Kansas,82278,81759
18,Kentucky,40408,39486
19,Louisiana,52378,43204
20,Maine,35380,30843
21,Maryland,12406,9707
22,Massachusetts,10554,7800
23,Michigan,96714,56539
24,Minnesota,86936,79627
25,Mississippi,48432,46923
26,Missouri,69707,68742
27,Montana,147040,145546
28,Nebraska,77348,76824
29,Nevada,110572,109781
30,New Hampshire,9349,8953
31,New Jersey,8723,7354
32,New Mexico,121590,121298
33,New York,54555,47126
34,North Carolina,53819,48618
35,North Dakota,70698,69001
36,Ohio,44826,40861
37,Oklahoma,69899,68595
38,Oregon,98379,95988
39,Pennsylvania,46054,44743
40,Rhode Island,1545,1034
41,South Carolina,32020,30061
42,South Dakota,77116,75811
43,Tennessee,42144,41235
44,Texas,268596,261232
45,Utah,84897,82170
46,Vermont,9616,9217
47,Virginia,42775,39490
48,Washington,71298,66456
49,West Virginia,24230,24038
50,Wisconsin,65496,54158
51,Wyoming,97813,97093
